Date,PD,Readed plots,Expected plots,Missed plots,Outer areas plots,SUC mean delay [ms],SUC max delay [ms],Notes
2014-12-31 16:00,98.37,16455,16728,273,0,99.05,226.5625, 
2014-12-31 12:00,98.8,13483,13647,164,0,98.36,101.5625, 
2014-12-31 08:00,98.39,19130,19444,314,0,97.87,148.4375, 
2014-12-31 04:00,98.32,12212,12421,209,0,97.41,289.0625, 
2014-12-31 00:00,98.99,491,496,5,0,96.84,101.5625, 
2014-12-30 20:00,98.87,9424,9532,108,0,98.3,367.1875, 
2014-12-30 16:00,98.65,23889,24216,327,0,98.07,187.5, 
2014-12-30 12:00,98.63,15352,15565,213,1,98.82,281.25, 
2014-12-30 08:00,98.77,19590,19834,244,3,97.94,382.8125, 
2014-12-30 04:00,98.5,9315,9457,142,0,95.45,109.375, 
2014-12-30 00:00,98.58,1671,1695,24,0,96.79,296.875, 
2014-12-29 20:00,98.52,7119,7226,107,2,100.68,375.0, 
2014-12-29 16:00,98.87,20470,20705,235,2,98.07,125.0, 
2014-12-29 12:00,97.96,16142,16478,336,2,97.96,335.9375, 
2014-12-29 08:00,98.74,22603,22892,289,0,97.77,406.25, 
2014-12-29 04:00,98.78,9219,9333,114,1,96.75,132.8125, 
2014-12-29 00:00,99.26,668,673,5,0,97.08,234.375, 
2014-12-28 20:00,99.06,10872,10975,103,2,100.57,367.1875, 
2014-12-28 16:00,98.81,21702,21964,262,1,99.37,171.875, 
2014-12-28 12:00,98.72,17595,17824,229,2,98.73,226.5625, 
2014-12-28 08:00,98.57,18144,18408,264,2,97.66,101.5625, 
2014-12-28 04:00,98.47,9978,10133,155,2,96.33,328.125, 
2014-12-28 00:00,95.04,134,141,7,0,94.73,218.75, 
2014-12-27 20:00,97.84,7119,7276,157,1,100.6,109.375, 
2014-12-27 16:00,98.35,21130,21484,354,1,98.84,117.1875, 
2014-12-27 12:00,98.32,13377,13606,229,1,98.69,273.4375, 
2014-12-27 08:00,98.25,17693,18009,316,1,96.58,117.1875, 
2014-12-27 04:00,98.54,10621,10778,157,1,97.44,367.1875, 
2014-12-27 00:00,97.42,566,581,15,0,97.19,101.5625, 
2014-12-26 20:00,98.38,9401,9556,155,0,100.82,453.125, 
2014-12-26 16:00,98.9,20529,20758,229,0,99.31,281.25, 
2014-12-26 12:00,99.19,15610,15737,127,0,99.3,148.4375, 
2014-12-26 08:00,98.42,20304,20629,325,0,98.29,398.4375, 
2014-12-26 04:00,98.17,9184,9355,171,0,96.9,304.6875, 
2014-12-26 00:00,99.13,229,231,2,0,94.4,101.5625, 
2014-12-25 20:00,98.85,9003,9108,105,0,100.18,101.5625, 
2014-12-25 16:00,98.88,18127,18332,205,1,99.45,101.5625, 
2014-12-25 12:00,99.02,11449,11562,113,1,97.6,234.375, 
2014-12-25 08:00,98.7,12056,12215,159,0,98.43,289.0625, 
2014-12-25 04:00,98.57,8056,8173,117,0,95.89,156.25, 
2014-12-25 00:00,93.98,328,349,21,0,96.04,101.5625, 
2014-12-24 20:00,98.52,5068,5144,76,0,99.69,101.5625, 
2014-12-24 16:00,98.78,18599,18828,229,0,97.87,601.5625, 
2014-12-24 12:00,98.36,12738,12950,212,0,98.07,195.3125, 
2014-12-24 08:00,98.27,19210,19548,338,0,98.54,101.5625, 
2014-12-24 04:00,98.8,10143,10266,123,0,97.31,203.125, 
2014-12-24 00:00,97.6,1015,1040,25,0,95.76,101.5625, 
2014-12-23 20:00,98.52,7999,8119,120,0,99.45,625.0, 
2014-12-23 16:00,98.4,23677,24061,384,0,97.77,304.6875, 
2014-12-23 12:00,99.0,13694,13832,138,0,97.02,640.625, 
2014-12-23 08:00,98.99,19629,19830,201,0,97.27,281.25, 
2014-12-23 04:00,98.88,9909,10021,112,0,97.54,210.9375, 
2014-12-23 00:00,99.74,775,777,2,0,97.55,101.5625, 
2014-12-22 20:00,98.88,9249,9354,105,0,100.75,250.0, 
2014-12-22 16:00,99.08,22290,22498,208,1,98.83,351.5625, 
2014-12-22 12:00,98.69,16278,16494,216,0,98.81,148.4375, 
2014-12-22 08:00,98.81,21863,22126,263,0,99.05,101.5625, 
2014-12-22 04:00,98.58,9991,10135,144,0,96.57,117.1875, 
2014-12-22 00:00,99.24,1703,1716,13,0,95.34,343.75, 
2014-12-21 20:00,98.54,8372,8496,124,1,100.43,101.5625, 
2014-12-21 16:00,98.95,23029,23273,244,0,98.02,101.5625, 
2014-12-21 12:00,98.81,16120,16314,194,1,97.1,664.0625, 
2014-12-21 08:00,99.1,17927,18090,163,1,97.74,515.625, 
2014-12-21 04:00,98.37,9246,9399,153,1,96.63,101.5625, 
2014-12-21 00:00,99.56,1346,1352,6,0,96.37,250.0, 
2014-12-20 20:00,98.65,14391,14588,197,1,99.16,468.75, 
2014-12-20 16:00,98.58,26800,27187,387,0,97.45,140.625, 
2014-12-20 12:00,99.38,14155,14244,89,2,97.25,570.3125, 
2014-12-20 08:00,98.73,17006,17224,218,2,98.74,164.0625, 
2014-12-20 04:00,98.48,10756,10922,166,0,95.97,117.1875, 
2014-12-20 00:00,97.62,3609,3697,88,0,95.93,156.25, 
2014-12-19 20:00,99.33,11263,11339,76,0,98.66,171.875, 
2014-12-19 16:00,98.85,23641,23916,275,0,99.91,265.625, 
2014-12-19 12:00,98.83,20449,20692,243,2,98.32,101.5625, 
2014-12-19 08:00,98.65,26521,26884,363,0,98.09,234.375, 
2014-12-19 04:00,98.58,10773,10928,155,0,97.59,101.5625, 
2014-12-19 00:00,99.32,2051,2065,14,0,98.2,101.5625, 
2014-12-18 20:00,98.99,7149,7222,73,1,100.99,257.8125,
2014-12-18 16:00,98.65,19716,19985,269,0,97.11,210.9375, 
2014-12-18 12:00,98.65,18138,18386,248,0,97.77,359.375, 
2014-12-18 08:00,99.13,16908,17056,148,1,98.97,296.875, 
2014-12-18 04:00,98.78,8696,8803,107,2,96.57,101.5625, 
2014-12-18 00:00,96.97,576,594,18,0,95.39,101.5625, 
2014-12-17 20:00,98.09,10080,10276,196,2,99.36,117.1875, 
2014-12-17 16:00,98.78,17463,17678,215,1,98.79,351.5625, 
2014-12-17 12:00,98.84,12142,12285,143,0,98.04,742.1875, 
2014-12-17 08:00,98.33,22057,22431,374,4,96.14,734.375, 
2014-12-17 04:00,98.39,9342,9495,153,0,95.86,164.0625, 
2014-12-17 00:00,95.95,948,988,40,0,96.29,101.5625, 
2014-12-16 20:00,98.29,6396,6507,111,0,100.29,132.8125, 
2014-12-16 16:00,98.8,20326,20572,246,2,99.09,171.875, 
2014-12-16 12:00,98.58,12114,12289,175,2,98.7,273.4375, 
2014-12-16 08:00,98.79,14193,14367,174,1,98.42,218.75, 
2014-12-16 04:00,98.68,10719,10862,143,2,96.71,125.0, 
2014-12-16 00:00,94.17,824,875,51,0,95.74,101.5625, 
2014-12-15 20:00,98.51,8406,8533,127,0,100.5,125.0, 
2014-12-15 16:00,98.85,19111,19333,222,2,98.55,281.25, 
2014-12-15 12:00,98.55,12117,12295,178,2,98.17,312.5, 
2014-12-15 08:00,98.69,13587,13768,181,2,98.8,343.75, 
2014-12-15 04:00,98.39,8624,8765,141,0,97.83,414.0625, 
2014-12-15 00:00,97.59,730,748,18,0,97.42,101.5625, 
2014-12-14 20:00,98.58,9310,9444,134,1,99.75,882.8125, 
2014-12-14 16:00,98.98,18983,19178,195,2,98.93,882.8125, 
2014-12-14 12:00,98.78,13569,13736,167,2,98.24,250.0, 
2014-12-14 08:00,98.9,14220,14378,158,0,97.87,382.8125, 
2014-12-14 04:00,98.62,9242,9371,129,1,96.23,101.5625, 
2014-12-14 00:00,96.18,780,811,31,0,95.34,101.5625, 
2014-12-13 20:00,98.16,6562,6685,123,0,101.02,171.875, 
2014-12-13 16:00,98.47,16320,16573,253,3,99.94,101.5625, 
2014-12-13 12:00,97.82,12881,13168,287,0,97.87,156.25, 
2014-12-13 08:00,98.36,15624,15884,260,1,97.37,257.8125, 
2014-12-13 04:00,98.49,10044,10198,154,0,96.03,289.0625, 
2014-12-13 00:00,99.12,4724,4766,42,1,97.59,101.5625, 
2014-12-12 20:00,98.98,13358,13495,137,1,99.74,195.3125, 
2014-12-12 16:00,99.06,17682,17849,167,2,99.12,390.625, 
2014-12-12 12:00,98.66,20919,21204,285,0,97.76,398.4375, 
2014-12-12 08:00,98.21,20198,20567,369,1,99.42,281.25, 
2014-12-12 04:00,98.9,13008,13153,145,0,97.68,328.125, 
2014-12-12 00:00,97.08,7747,7980,233,0,95.35,101.5625, 
2014-12-11 20:00,98.73,8626,8737,111,1,98.87,101.5625, 
2014-12-11 16:00,98.76,20385,20641,256,1,97.47,296.875, 
2014-12-11 12:00,99.28,14738,14845,107,2,98.74,171.875, 
2014-12-11 08:00,98.94,17475,17663,188,1,97.4,328.125, 
2014-12-11 04:00,99.13,14974,15105,131,0,98.49,320.3125, 
2014-12-11 00:00,98.02,15173,15479,306,0,97.89,289.0625, 
2014-12-10 20:00,98.76,15003,15192,189,0,99.5,171.875, 
2014-12-10 16:00,98.84,20340,20578,238,1,98.83,195.3125, 
2014-12-10 12:00,98.92,12848,12988,140,1,97.2,273.4375, 
2014-12-10 08:00,98.49,24033,24402,369,2,98.33,164.0625, 
2014-12-10 04:00,98.93,7930,8016,86,1,95.92,281.25, 
2014-12-10 00:00,99.73,733,735,2,0,95.25,101.5625, 
2014-12-09 20:00,99.02,5886,5944,58,0,98.82,234.375, 
2014-12-09 16:00,98.61,21548,21852,304,2,100.18,328.125, 
