6150221_00	28.4812090444	-16.3365840199	663.5843179384	21 2  2014	 0 5  19.20     	
6150221_00	28.4812090366	-16.3365840230	663.5763380267	21 2  2014	 0 5  19.40     	
6150221_00	28.4812090355	-16.3365840333	663.5804373231	21 2  2014	 0 5  19.60     	
6150221_00	28.4812090620	-16.3365840074	663.5914175352	21 2  2014	 0 5  19.80     	
6150221_00	28.4812090468	-16.3365840144	663.5821007257	21 2  2014	 0 5  20.00     	
6150221_00	28.4812090514	-16.3365840203	663.5809752420	21 2  2014	 0 5  20.20     	
6150221_00	28.4812090394	-16.3365840190	663.5841961848	21 2  2014	 0 5  20.40     	
6150221_00	28.4812090502	-16.3365840168	663.5798310703	21 2  2014	 0 5  20.60     	
6150221_00	28.4812090439	-16.3365840224	663.5810320023	21 2  2014	 0 5  20.80     	
6150221_00	28.4812090463	-16.3365840312	663.5817623930	21 2  2014	 0 5  21.00     	
6150221_00	28.4812090398	-16.3365840068	663.5757942852	21 2  2014	 0 5  21.20     	
6150221_00	28.4812090545	-16.3365840170	663.5783139374	21 2  2014	 0 5  21.40     	
6150221_00	28.4812090501	-16.3365840146	663.5829978464	21 2  2014	 0 5  21.60     	
6150221_00	28.4812090390	-16.3365840170	663.5790124498	21 2  2014	 0 5  21.80     	
6150221_00	28.4812090361	-16.3365840141	663.5777224507	21 2  2014	 0 5  22.00     	
6150221_00	28.4812090482	-16.3365839938	663.5762271630	21 2  2014	 0 5  22.20     	
6150221_00	28.4812090366	-16.3365840127	663.5734056244	21 2  2014	 0 5  22.40     	
6150221_00	28.4812090334	-16.3365840208	663.5759044401	21 2  2014	 0 5  22.60     	
6150221_00	28.4812090403	-16.3365840240	663.5894683357	21 2  2014	 0 5  22.80     	
6150221_00	28.4812090273	-16.3365839996	663.5771417115	21 2  2014	 0 5  23.00     	
6150221_00	28.4812090180	-16.3365839973	663.5631525461	21 2  2014	 0 5  23.20     	
6150221_00	28.4812090410	-16.3365840128	663.5806616694	21 2  2014	 0 5  23.40     	
6150221_00	28.4812090282	-16.3365840023	663.5639717923	21 2  2014	 0 5  23.60     	
6150221_00	28.4812090458	-16.3365840290	663.5838019820	21 2  2014	 0 5  23.80     	
6150221_00	28.4812090282	-16.3365840145	663.5802468779	21 2  2014	 0 5  24.00     	
6150221_00	28.4812090417	-16.3365839919	663.5790091520	21 2  2014	 0 5  24.20     	
6150221_00	28.4812090420	-16.3365840182	663.5799679616	21 2  2014	 0 5  24.40     	
6150221_00	28.4812090276	-16.3365840057	663.5738528930	21 2  2014	 0 5  24.60     	
6150221_00	28.4812090402	-16.3365840143	663.5785409166	21 2  2014	 0 5  24.80     	
6150221_00	28.4812090276	-16.3365840176	663.5724739758	21 2  2014	 0 5  25.00     	
6150221_00	28.4812090333	-16.3365840248	663.5772714131	21 2  2014	 0 5  25.20     	
6150221_00	28.4812090368	-16.3365840125	663.5806072494	21 2  2014	 0 5  25.40     	
6150221_00	28.4812090376	-16.3365840160	663.5751638599	21 2  2014	 0 5  25.60     	
6150221_00	28.4812090283	-16.3365839995	663.5723161697	21 2  2014	 0 5  25.80     	
6150221_00	28.4812090286	-16.3365840158	663.5740179857	21 2  2014	 0 5  26.00     	
6150221_00	28.4812090309	-16.3365840079	663.5770808775	21 2  2014	 0 5  26.20     	
6150221_00	28.4812090461	-16.3365840177	663.5851598186	21 2  2014	 0 5  26.40     	
6150221_00	28.4812090322	-16.3365840247	663.5757031236	21 2  2014	 0 5  26.60     	
6150221_00	28.4812090340	-16.3365840106	663.5726053538	21 2  2014	 0 5  26.80     	
6150221_00	28.4812090270	-16.3365840126	663.5676156376	21 2  2014	 0 5  27.00     	
6150221_00	28.4812090246	-16.3365840143	663.5717204288	21 2  2014	 0 5  27.20     	
6150221_00	28.4812090293	-16.3365840292	663.5852839630	21 2  2014	 0 5  27.40     	
6150221_00	28.4812090394	-16.3365840419	663.5861090077	21 2  2014	 0 5  27.60     	
6150221_00	28.4812090408	-16.3365840258	663.5808548396	21 2  2014	 0 5  27.80     	
6150221_00	28.4812090454	-16.3365840284	663.5877630301	21 2  2014	 0 5  28.00     	
6150221_00	28.4812090349	-16.3365840196	663.5810762281	21 2  2014	 0 5  28.20     	
6150221_00	28.4812090326	-16.3365840063	663.5701813037	21 2  2014	 0 5  28.40     	
6150221_00	28.4812090454	-16.3365840249	663.5857899440	21 2  2014	 0 5  28.60     	
6150221_00	28.4812090428	-16.3365840278	663.5785025964	21 2  2014	 0 5  28.80     	
6150221_00	28.4812090446	-16.3365840143	663.5883974191	21 2  2014	 0 5  29.00     	
6150221_00	28.4812090698	-16.3365840240	663.5966395233	21 2  2014	 0 5  29.20     	
6150221_00	28.4812090441	-16.3365840030	663.5782351289	21 2  2014	 0 5  29.40     	
6150221_00	28.4812090489	-16.3365840285	663.5904590143	21 2  2014	 0 5  29.60     	
6150221_00	28.4812090301	-16.3365840261	663.5837142617	21 2  2014	 0 5  29.80     	
6150221_00	28.4812090461	-16.3365840353	663.5902317595	21 2  2014	 0 5  30.00     	
6150221_00	28.4812090392	-16.3365840112	663.5696651954	21 2  2014	 0 5  30.20     	
6150221_00	28.4812090449	-16.3365840158	663.5839215005	21 2  2014	 0 5  30.40     	
6150221_00	28.4812090389	-16.3365840318	663.5880629867	21 2  2014	 0 5  30.60     	
6150221_00	28.4812090436	-16.3365840099	663.5715024592	21 2  2014	 0 5  30.80     	
6150221_00	28.4812090455	-16.3365840180	663.5751884449	21 2  2014	 0 5  31.00     	
6150221_00	28.4812090674	-16.3365840338	663.5934855239	21 2  2014	 0 5  31.20     	
6150221_00	28.4812090488	-16.3365840250	663.5823526084	21 2  2014	 0 5  31.40     	
6150221_00	28.4812090476	-16.3365840190	663.5866842605	21 2  2014	 0 5  31.60     	
6150221_00	28.4812090390	-16.3365840137	663.5795971733	21 2  2014	 0 5  31.80     	
6150221_00	28.4812090363	-16.3365840257	663.5744491592	21 2  2014	 0 5  32.00     	
