Cat,Length,FSPEC,DI I010/010 SAC,DI I010/010 SIC,DI I010/000 Message Type,DI I010/020 TRD Type,DI I010/020 TRD DCR,DI I010/020 TRD CHN,DI I010/020 TRD GBS,DI I010/020 TRD CRT,DI I010/140 Time of Day,ADD ON time at recorder,ADD ON delta(t),DI I010/041 Lat,DI I010/041 Lon,DI I010/040 Rho,DI I010/040 Theta,DI I010/042 X,DI I010/042 Y,DI I010/200 V_rho,DI I010/200 V_theta,DI I010/202 V_x,DI I010/202 V_y,DI I010/161 Track No.,DI I010/170 Track Status,DI I010/060 ModeA,DI I010/220 Target Address,DI I010/245 Target ID,DI I010/250 Mode S MB Data,DI I010/300 Vehicle FID,DI I010/090 Fight Level,DI I010/091 Measured Height,DI I010/270 T. Size ,DI I010/270 T. Orientation,DI I010/270 T. Width,DI I010/550 System Status NOGO,DI I010/550 System Status OVL,DI I010/550 System Status TSV,DI I010/550 System Status DIV,DI I010/550 System Status TTF,DI I010/310 PreProgrammed Message,DI I010/550 Standard Deviation of Position sigmaX,DI I010/550 Standard Deviation of Position sigmaY,DI I010/550 Standard Deviation of Position covariXY,DI I010/280 Presence,DI I010/131 Amplitude of Primary Plot,DI I010/210 Calculated Acceleration,SP Special Purpose Field,RE Reserved Expansion Field
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28823.0,28823.0,0.0,,,2904.0,105.7269287109375,2794,-794,470.0,-71.1419677734375,-201,70,2768,5,,,,,,,,55,-138,90,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28823.0,28823.0,0.0,,,1559.0,-54.0582275390625,-1256,923,100.0,110.8575439453125,42,-16,2767,5,,,,,,,,43,222,38,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28823.0,28823.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28824.0,28824.0,0.0,,,2849.0,105.64453125,2742,-775,486.0,-70.389404296875,-206,75,2768,5,,,,,,,,67,-138,96,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28824.0,28824.0,0.0,,,1550.0,-53.9483642578125,-1247,921,84.0,107.5177001953125,36,-11,2767,5,,,,,,,,49,216,34,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28824.0,28824.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,23,[209   1   4],1,0,Periodic Status Message,,,,,,28824.0,28824.0,0.0,,,,,,,,,,,,,,,,,,,,,,,Operational,No overload,Time source VALID,Normal Operation,Test Target Operative,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28825.0,28825.0,0.0,,,2794.0,105.5841064453125,2689,-757,494.0,-71.4056396484375,-211,72,2768,5,,,,,,,,67,-138,78,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28825.0,28825.0,0.0,,,1539.0,-53.822021484375,-1236,917,101.0,109.3084716796875,43,-15,2767,5,,,,,,,,43,222,38,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28825.0,28825.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28826.0,28826.0,0.0,,,2739.0,105.46875,2638,-737,483.0,-69.0216064453125,-203,79,2768,5,,,,,,,,67,-133,92,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28826.0,28826.0,0.0,,,1529.0,-53.7451171875,-1227,912,93.0,114.005126953125,38,-17,2767,5,,,,,,,,49,233,38,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28826.0,28826.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28827.0,28827.0,0.0,,,2682.0,105.3973388671875,2585,-718,501.0,-71.136474609375,-214,75,2768,5,,,,,,,,73,-138,98,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28827.0,28827.0,0.0,,,1518.0,-53.6077880859375,-1216,909,98.0,107.830810546875,42,-14,2767,5,,,,,,,,49,216,32,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28827.0,28827.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28828.0,28828.0,0.0,,,2628.0,105.3204345703125,2533,-700,485.0,-71.279296875,-207,72,2768,5,,,,,,,,73,-138,88,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28828.0,28828.0,0.0,,,1508.0,-53.50341796875,-1206,905,94.0,111.500244140625,40,-16,2767,5,,,,,,,,55,227,38,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28828.0,28828.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28829.0,28829.0,0.0,,,2570.0,105.27099609375,2478,-683,506.0,-72.509765625,-218,70,2768,5,,,,,,,,73,-144,94,,,,,,,,,,,,,,
